time,dt,max_concentration,min_concentration,total_energy,volume_fraction
0,0,0.52989650885862,0.48030381437097,8542.7190086223,1
0.01,0.01,0.534042187091,0.46416150657555,6022.5232172379,1
0.02,0.01,0.55134451771559,0.45659903246192,5100.784153086,1
0.03,0.01,0.56163380649479,0.45260588376082,4647.6954580347,1
0.041,0.011,0.57049292380064,0.4473847903823,4357.0611273075,1
0.0531,0.0121,0.57835579164239,0.44344139980593,4154.1979162869,1
0.06641,0.01331,0.58634979595536,0.43960158123075,4000.6772908731,1
0.081051,0.014641,0.59385134053884,0.43597852805269,3878.4660027764,1
0.0971561,0.0161051,0.60113108144574,0.43299728541105,3776.0653081778,1
0.11487171,0.01771561,0.60792218686784,0.42518812389773,3687.8861552082,1
0.134358881,0.019487171,0.61460091886261,0.41691998216044,3609.7611793881,1
0.1557947691,0.0214358881,0.62140588225169,0.40961903271034,3539.8440573692,1
0.17937424601,0.02357947691,0.62777840620742,0.40325888735465,3476.8783821328,0.99995
0.205311670611,0.025937424601,0.63380828967826,0.39791336118822,3420.3447778348,0.99985
0.2338428376721,0.0285311670611,0.64132898754117,0.3935709809553,3369.9237845915,0.999675
0.26522712143931,0.03138428376721,0.65677264070014,0.3890905874919,3325.5989905795,0.999525
0.29974983358324,0.034522712143931,0.67347821247495,0.38413994237785,3287.0349319464,0.999425
0.33772481694157,0.037974983358324,0.68951020439679,0.38009192213398,3254.2125096512,0.999325
0.37949729863572,0.041772481694157,0.70448984052018,0.37699555630324,3226.2375625458,0.999275
0.42544702849929,0.045949729863572,0.71807696938577,0.37485202201032,3202.9474940634,0.99915
0.47599173134922,0.050544702849929,0.73382666336382,0.37368425594673,3182.8728139121,0.99915
0.53159090448415,0.055599173134922,0.74838722977796,0.37347402179999,3165.707011439,0.99915
0.58719007761907,0.055599173134922,0.75953651692698,0.37404269244286,3150.8181852297,0.999225
0.64278925075399,0.055599173134922,0.76808282119164,0.37516613524111,3137.8401647149,0.9992
0.69838842388891,0.055599173134922,0.77467308052775,0.37667692655051,3125.737018049,0.999275
0.75398759702384,0.055599173134922,0.77980261801882,0.3784522035464,3115.1754064442,0.99935
0.80958677015876,0.055599173134922,0.78383315859171,0.38040337917034,3105.3868856796,0.99935
0.87074586060717,0.061159090448415,0.78727376542769,0.38169711764393,3095.7924723206,0.9994
0.93802086010043,0.067274999493256,0.79016105457772,0.38267683718047,3085.6107131959,0.999375
